strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
BUZ 2|DSM 22563|CCUG 58136	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Fibrella	Fibrella aestuarina	131567|2|1783270|68336|976|768503|768507|89373|861914|651143	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Fibrella|Fibrella aestuarina	NC_020054.1|NC_019012.1	651143	Fibrella aestuarina	Fibrella aestuarina strain BUZ 2	1	6937263	454 GS FLX	Complete
P8|DSM 12710|JCM 10830|BK20S6-10-b1	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus hellenicus	131567|2157|1783275|28889|183924|114380|2272|2279|84599|591019	cellular organisms|Archaea|TACK group|Crenarchaeota|Thermoprotei|Desulfurococcales|Desulfurococcaceae|Staphylothermus|Staphylothermus hellenicus|Staphylothermus hellenicus DSM 12710	NC_014205.1	591019	Staphylothermus hellenicus	Staphylothermus hellenicus DSM 12710	missing	1580350	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
RB2256	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis alaskensis	131567|2|1224|28211|204457|41297|165697|117207|317655	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis|Sphingopyxis alaskensis|Sphingopyxis alaskensis RB2256	NC_008048.1|NC_008036.1	317655	Sphingopyxis alaskensis	Sphingopyxis alaskensis RB2256	1	3373713	AB 3730xL Genetic Analyzer	Complete
NB10	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio anguillarum	131567|2|1224|1236|135623|641|662|55601	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio anguillarum	NZ_LK021130.1|NZ_LK021129.1|NZ_LK021128.1	55601	Vibrio anguillarum	Vibrio anguillarum NB10	1	4373835	454 GS|PacBio RS	Complete
R-10|DSM 4252|ATCC 43812	Bacteria	Bacteroidetes	NA	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus	Rhodothermus marinus	131567|2|1783270|68336|976|1100069|563843|29548|29549|518766	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Bacteroidetes Order II. Incertae sedis|Rhodothermaceae|Rhodothermus|Rhodothermus marinus|Rhodothermus marinus DSM 4252	NC_013501.1|NC_013502.1	518766	Rhodothermus marinus	Rhodothermus marinus DSM 4252	1	3386737	AB 3730 Genetic Analyzer|454 GS FLX	Complete
SCSIO 6842	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas rubra	131567|2|1224|1236|135622|267888|53246|43658	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas rubra	NZ_CP013611.1|NZ_CP013613.1|NZ_CP013612.1	43658	Pseudoalteromonas rubra	Pseudoalteromonas rubra strain SCSIO 6842	1	5913780	Illumina|PacBio RS	Complete
Ionian Sea UM4b|DSM 26496	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275|1300259	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea|Alteromonas mediterranea UM4b	NC_021714.1	1300259	Alteromonas macleodii	Alteromonas macleodii str. 'Ionian Sea UM4b'	0	4438767	454 GS FLX|Illumina HiSeq 2000	Complete
Ionian Sea U4	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275|1300255	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea|Alteromonas mediterranea U4	NC_021710.1|NC_021711.1	1300255	Alteromonas macleodii	Alteromonas macleodii str. 'Ionian Sea U4'	1	4624578	454 GS FLX|Illumina Genome Analyzer IIx	Complete
Ionian Sea UM7	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275|1300258	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea|Alteromonas mediterranea UM7	NC_021713.1|NC_021718.1	1300258	Alteromonas macleodii	Alteromonas macleodii str. 'Ionian Sea UM7'	1	4931660	454 GS FLX|Illumina Genome Analyzer IIx	Complete
Alteromonas macleodii str. 'Ionian Sea U7'	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275|1300256	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea|Alteromonas mediterranea U7	NC_021717.1	1300256	Alteromonas macleodii	Alteromonas macleodii str. 'Ionian Sea U7'	0	4442936	454 GS FLX|Illumina Genome Analyzer IIx	Complete
Ionian Sea U8	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275|1300257	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea|Alteromonas mediterranea U8	NC_021712.1	1300257	Alteromonas macleodii	Alteromonas macleodii str. 'Ionian Sea U8'	0	4395035	454 GS FLX|Illumina Genome Analyzer IIx	Complete
Aegean Sea MED64	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275|1300254	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea|Alteromonas mediterranea MED64	NC_023045.1	1300254	Alteromonas macleodii	Alteromonas macleodii str. 'Aegean Sea MED64'	0	4397537	454 GS FLX|Illumina Genome Analyzer IIx	Complete
MSB8|DSM 3109|ATCC 43589|JCM 10099	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	131567|2|200918|188708|2419|188709|2335|2336|243274	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga maritima|Thermotoga maritima MSB8	NC_023151.1| NZ_CP011107.1|NC_000853.1|NC_021214.1	243274	Thermotoga maritima	Thermotoga maritima MSB8	missing	1869644	454 GS|Illumina Genome Analyzer II	Complete
MSB8|DSM 3109|ATCC 43589|JCM 10099	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	131567|2|200918|188708|2419|188709|2335|2336|243274	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga maritima|Thermotoga maritima MSB8	NZ_CP011107.1	243274	Thermotoga maritima	Thermotoga maritima MSB8	missing	1869610	missing	Complete
FSC1006	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. FSC1006	131567|2|1224|1236|72273|34064|262|1547445	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella sp. FSC1006	NZ_CP009574.1	1547445	Francisella	Francisella sp. FSC1006	missing	2015987	PacBio RS	Complete
78-ME|DSM 26066|LMG 26961	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	Cycloclasticus zancles	131567|2|1224|1236|72273|135616|34067|1329899|1198232	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Cycloclasticus|Cycloclasticus zancles|Cycloclasticus zancles 78-ME	NC_021917.1|NC_021918.1	1198232	Cycloclasticus zancles	Cycloclasticus zancles 78-ME	1	2655425	Illumina HiSeq 2000	Complete
MIL-1|DSM 14913	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus	Thalassolituus oleivorans	131567|2|1224|1236|135619|135620|187492|187493|1298593	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Thalassolituus|Thalassolituus oleivorans|Thalassolituus oleivorans MIL-1	NC_020888.1	1298593	Thalassolituus oleivorans	Thalassolituus oleivorans MIL-1	0	3920328	Illumina HiSeq 2000	Complete
VE-C3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter venetianus	131567|2|1224|1236|72274|468|469|52133|1197884	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter venetianus|Acinetobacter venetianus VE-C3	NZ_CM001772.1|NC_010309.1|NC_010310.1|NZ_ALIG01000010.1	1197884	Acinetobacter venetianus	Acinetobacter venetianus VE-C3	3	3544508	454 GS|Illumina HiSeq	Complete
MSB8|ATCC 43589|DSM 3109|JCM 10099	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	131567|2|200918|188708|2419|188709|2335|2336|243274	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga maritima|Thermotoga maritima MSB8	NC_000853.1	243274	Thermotoga maritima	Thermotoga maritima MSB8	0	1860725	missing	Complete
IM2|ATCC 51768|DSM 7523|JCM 9630|NBRC 100827	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum	131567|2157|1783275|28889|183924|2266|2267|2276|13773|178306	cellular organisms|Archaea|TACK group|Crenarchaeota|Thermoprotei|Thermoproteales|Thermoproteaceae|Pyrobaculum|Pyrobaculum aerophilum|Pyrobaculum aerophilum str. IM2	NC_003364.1	178306	Pyrobaculum aerophilum	Pyrobaculum aerophilum str. IM2	missing	2222430	ABI Prism 373 DNA sequencer|ABI Prism 377 DNA sequencer	Complete
VC-16|DSM 4304|ATCC 49558|VC-16|JCM 9628|NBRC 100126	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	131567|2157|28890|183980|2231|2232|2233|2234|224325	cellular organisms|Archaea|Euryarchaeota|Archaeoglobi|Archaeoglobales|Archaeoglobaceae|Archaeoglobus|Archaeoglobus fulgidus|Archaeoglobus fulgidus DSM 4304	NC_000917.1	224325	Archaeoglobus fulgidus	Archaeoglobus fulgidus DSM 4304	missing	2178400	Sanger	Complete
Vc1|DSM 3638||JCM 8422|ATCC 43587	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus	131567|2157|28890|183968|2258|2259|2260|2261|186497	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Pyrococcus|Pyrococcus furiosus|Pyrococcus furiosus DSM 3638	NC_003413.1	186497	Pyrococcus furiosus	Pyrococcus furiosus DSM 3638	missing	1908260	missing	Complete
KMM 520|LMG 19696|ATCC BAA-315	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas translucida	131567|2|1224|1236|135622|267888|53246|166935|1315283	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas translucida|Pseudoalteromonas translucida KMM 520	NZ_CP011034.1|NZ_CP011035.1	1315283	Pseudoalteromonas translucida	Pseudoalteromonas translucida KMM 520	missing	4147593	Illumina HiSeq	Complete
IH1|JCM 11175|DSM 14208	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus okinawensis	131567|2157|28890|183939|2182|2183|155862|155863|647113	cellular organisms|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanococcaceae|Methanothermococcus|Methanothermococcus okinawensis|Methanothermococcus okinawensis IH1	NC_015636.1|NC_015632.1	647113	Methanothermococcus okinawensis	Methanothermococcus okinawensis IH1	1	1677450	454 GS|Illumina	Complete
MJ11	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri	131567|2|1224|1236|135623|641|511678|668|388396	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Aliivibrio|Aliivibrio fischeri|Vibrio fischeri MJ11	NC_011186.1|NC_011184.1|NC_011185.1	388396	Vibrio fischeri	Vibrio fischeri MJ11	1	4503336	missing	Complete
NBC37-1	Bacteria	Proteobacteria	Epsilonproteobacteria	NA	NA	Sulfurovum	Sulfurovum sp. NBC37-1	131567|2|1224|68525|29547|34035|265570|387093	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|unclassified Epsilonproteobacteria|Sulfurovum|Sulfurovum sp. NBC37-1	NC_009663.1	387093	Sulfurovum sp.	Sulfurovum sp. NBC37-1	0	2562277	Sanger	Complete
SMP-2|DSM 14365|CIP 107738|JCM 11303	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Haliangium	Haliangium ochraceum	131567|2|1224|68525|28221|29|224462|224464|162027|80816|502025	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Myxococcales|Nannocystineae|Kofleriaceae|Haliangium|Haliangium ochraceum|Haliangium ochraceum DSM 14365	NC_013440.1	502025	Haliangium ochraceum	Haliangium ochraceum DSM 14365	0	9446314	AB 3730 Genetic Analyzer|454 GS FLX	Complete
SY1|DSM 16960|JCM 12091|ATCC BAA-758	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum camini	131567|2157|1783275|28889|183924|114380|2272|56635|229980|1198449	cellular organisms|Archaea|TACK group|Crenarchaeota|Thermoprotei|Desulfurococcales|Desulfurococcaceae|Aeropyrum|Aeropyrum camini|Aeropyrum camini SY1 = JCM 12091	NC_022521.1	1198449	Aeropyrum camini	Aeropyrum camini SY1 = JCM 12091	missing	1595990	454 GS FLX Titanium|AB 3130 Genetic Analyzer	Complete
SSM1|JCM 11476|DSM 14783|NBRC 101012	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter	Deferribacter desulfuricans	131567|2|200930|68337|191393|191394|53572|197162|639282	cellular organisms|Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Deferribacter|Deferribacter desulfuricans|Deferribacter desulfuricans SSM1	NC_013939.1|NC_013940.1	639282	Deferribacter desulfuricans	Deferribacter desulfuricans SSM1	1	2542933	AB 3730 Genetic Analyzer	Complete
K1|ATCC 700893|DSM 11879|JCM 9820|NBRC 100138	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum pernix	131567|2157|1783275|28889|183924|114380|2272|56635|56636|272557	cellular organisms|Archaea|TACK group|Crenarchaeota|Thermoprotei|Desulfurococcales|Desulfurococcaceae|Aeropyrum|Aeropyrum pernix|Aeropyrum pernix K1	missing	272557	Aeropyrum pernix	Aeropyrum pernix K1	missing	1669700	ABI Prism 377 DNA sequencer	Complete
L21-Fru-AB|DSM 26986	Bacteria	Verrucomicrobia	missing	missing	missing	missing	Kiritimatiella glycovorans	131567|2|1783257|74201|326457|417295|1609981	cellular organisms|Bacteria|PVC group|Verrucomicrobia|unclassified Verrucomicrobia|unclassified Verrucomicrobia (miscellaneous)|Verrucomicrobia bacterium L21-Fru-AB	NZ_CP010904.1	1609981	Verrucomicrobia bacterium	Verrucomicrobia bacterium L21-Fru-AB	missing	2949723	missing	Complete
Gung47|KCTC 22804|CCUG 58399|DSM 26887	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium gaetbulicola	131567|2|1224|1236|135623|641|657|1295392|658445	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Photobacterium|Photobacterium gaetbulicola|Photobacterium gaetbulicola Gung47	NZ_CP005974.1|NZ_CP005973.1	658445	Photobacterium gaetbulicola	Photobacterium gaetbulicola Gung47	missing	5909413	454 GS	Complete
RCC 307	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. RCC307	131567|2|1783272|1117|1301283|1118|1129|316278	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. RCC307	NC_009482.1	316278	Synechococcus sp.	Synechococcus sp. RCC307	0	2224914	missing	Complete
C1TLV30|JCM 15486|DSM 21447	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piezophilus	131567|2|1224|68525|28221|213115|194924|872|879567	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio piezophilus	NC_020409.1	879567	Desulfovibrio piezophilus	Desulfovibrio piezophilus strain C1TLV30	0	3646098	454 GS FLX|Illumina	Complete
M27-SA2	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	Halanaeroarchaeum sulfurireducens	131567|2157|28890|183963|2235|2236|1656823|1604004	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halanaeroarchaeum|Halanaeroarchaeum sulfurireducens	NZ_CP011564.1|NZ_CP011565.1	1604004	Halanaeroarchaeum sulfurireducens	Halanaeroarchaeum sulfurireducens strain M27-SA2	1	2253500	Illumina MiSeq	Complete
HRM2|ATCC 43914|DSM 3382	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium	Desulfobacterium autotrophicum	131567|2|1224|68525|28221|213118|213119|2295|2296|177437	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfobacterium|Desulfobacterium autotrophicum|Desulfobacterium autotrophicum HRM2	NC_012108.1|NC_012109.1	177437	Desulfobacterium autotrophicum	Desulfobacterium autotrophicum HRM2	1	5657782	AB 3730xLGenetic Analyzer|ABI Prism 377 DNA sequencer	Complete
Adriatic-2|DE|DSM 17117	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea	NC_011138.1	314275	Alteromonas macleodii	Alteromonas macleodii str. 'Deep ecotype'	0	4412282	AB 3730xL Genetic Analyzer	Complete
MIC269	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens	Nonlabens sp. MIC269	131567|2|1783270|68336|976|117743|200644|49546|363408|1476901	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Nonlabens|Nonlabens sp. MIC269	NZ_CP011373.1	1476901	Nonlabens sp.	Nonlabens sp. MIC269	missing	2884293	PacBio RS	Complete
2314BVA|LMG 23910|CCUG55787	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter peloridis	131567|2|1224|68525|29547|213849|72294|194|488546|1388753	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter peloridis|Campylobacter peloridis LMG 23910	NZ_CP007766.1|NZ_CP007767.1|NZ_CP007768.1	1388753	Campylobacter peloridis	Campylobacter peloridis LMG 23910	2	1762793	454 GS|Illumina|PacBio|Sanger	Complete
NATL1A	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	131567|2|1783272|1117|1212|1217|1218|1219|167555	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Prochlorales|Prochlorococcaceae|Prochlorococcus|Prochlorococcus marinus|Prochlorococcus marinus str. NATL1A	NC_008819.1	167555	Prochlorococcus marinus	Prochlorococcus marinus str. NATL1A	0	1864731	AB 3730xL Genetic Analyzer	Complete
NATL2A	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	131567|2|1783272|1117|1212|1217|1218|1219|59920	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Prochlorales|Prochlorococcaceae|Prochlorococcus|Prochlorococcus marinus|Prochlorococcus marinus str. NATL2A	NC_007335.2	59920	Prochlorococcus marinus	Prochlorococcus marinus str. NATL2A	0	1842899	AB 3730 Genetic Analyzer	Complete
strain W1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	Candidatus Filomicrobium marinum	131567|2|1224|28211|356|45401|119044|1608628	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Filomicrobium|Candidatus Filomicrobium marinum	NZ_LN829118.1	1608628	Filomicrobium	Filomicrobium sp. W1	missing	3969941	Illumina MiSeq	Complete
PRO95|DSM 26625	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia sp. PRO95	131567|2|1783270|68336|976|117743|200644|49546|326319|1239415	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Dokdonia|Dokdonia sp. PRO95	NZ_CM001837.1	1239415	Dokdonia sp.	Dokdonia sp. PRO95	missing	3305193	Illumina GA IIx	Complete
D3C	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus piranensis	131567|2157|1783275|651137|31932|338190|338191|1582439	cellular organisms|Archaea|TACK group|Thaumarchaeota|Nitrosopumilales|Nitrosopumilaceae|Nitrosopumilus|Candidatus Nitrosopumilus sp. D3C	CP010868.1	1582439	Candidatus Nitrosopumilus	Candidatus Nitrosopumilus sp. D3C	missing	1713078	454 GS FLX Titanium	Complete
NF5	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus adriaticus	131567|2157|1783275|651137|31932|338190|338191|1580092	cellular organisms|Archaea|TACK group|Thaumarchaeota|Nitrosopumilales|Nitrosopumilaceae|Nitrosopumilus|Candidatus Nitrosopumilus sp. NF5	NZ_CP011070.1	1580092	Candidatus Nitrosopumilus	Candidatus Nitrosopumilus sp. NF5	missing	1803090	454 GS FLX Titanium	Complete
DSM 8774	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	131567|2157|28890|183980|2231|2232|2233|2234|1344584	cellular organisms|Archaea|Euryarchaeota|Archaeoglobi|Archaeoglobales|Archaeoglobaceae|Archaeoglobus|Archaeoglobus fulgidus|Archaeoglobus fulgidus DSM 8774	NZ_CP006577.1	1344584	Archaeoglobus fulgidus	Archaeoglobus fulgidus DSM 8774	missing	2316290	454 GS FLX|Illumina|Solexa	Complete
670-83|ATCC 35237|CNY 7618|CDC 669-83	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia aldovae	131567|2|1224|1236|91347|543|629|29483|1453495	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Yersinia|Yersinia aldovae|Yersinia aldovae 670-83	NZ_CP009781.1	1453495	Yersinia aldovae	Yersinia aldovae 670-83	missing	4471090	Illumina|PacBio RS|454 GS	Complete
LSv54|DSM 12343	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfotalea	Desulfotalea psychrophila	131567|2|1224|68525|28221|213118|213121|109168|84980|177439	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfotalea|Desulfotalea psychrophila|Desulfotalea psychrophila LSv54	NC_006138.1|NC_006139.1|NC_006140.1	177439	Desulfotalea psychrophila	Desulfotalea psychrophila LSv54	2	3659634	ABI Prism 377 DNA sequencer|AB 3100 Genetic Analyzer|AB 3700 Genetic Analyzer	Complete
Cell2	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga sp. Cell2	131567|2|200918|188708|2419|188709|2335|1157947	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga sp. Cell2	NZ_CP003409.1	1157947	Thermotoga	Thermotoga sp. Cell2	missing	1749904	454 GS FLX and Sanger	Complete
GBA 94-10	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. GBA 94-10	131567|2|1783272|201174|1760|85011|2062|1883|1218177	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces sp. GBA 94-10	NZ_CM002271.1|NZ_CM002272.1	1218177	Streptomyces	Streptomyces sp. GBA 94-10	1	7224475	Illumina MiSeq	Complete
PVA 94-07	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. PVA 94-07	131567|2|1783272|201174|1760|85011|2062|1883|1223307	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces sp. PVA 94-07	NZ_CM002273.1|NZ_CM002274.1|NZ_CM002275.1	1223307	Streptomyces	Streptomyces sp. PVA 94-07	2	7106149	Illumina MiSeq	Complete
12AMOR1|DSM 100439	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus sp. 12AMOR1	131567|2|1783272|1239|91061|1385|186817|129337|1629723	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus sp. 12AMOR1	missing	1629723	Geobacillus	Geobacillus sp. 12AMOR1	1	3442724	PacBio RS	Complete
