Assemblies	gsa (short)	gsa (long)	gsa(hybrid)	HipMer (short)	Flye (long)	Flye (hybrid)	Flye_strain (long)	Flye strain (hybrid)	HipMer2 (short)	SPAdes (short)	MEGAHIT (short)	OPERA-MS (hybrid)	Flye inhouse (hybrid)
487316.PRJDB1754	0.031	4.05	4.103	-	-	-	-	-	-	-	-	-	-
491205.PRJNA236202	34.559	66.258	79.233	0.039	-	-	-	-	0.165	0.898	1.703	1.346	-
497964.PRJNA28531	0.217	9.705	10.027	-	-	-	-	-	-	-	-	-	-
498211.PRJNA28329	100	99.983	100	98.452	99.182	99.182	99.172	99.172	98.346	96.702	98.005	81.663	99.257
509635.PRJNA214790	71.458	87.416	96.753	0.558	3.515	3.515	3.515	3.515	3.242	0.018	0.099	0.023	3.515
519442.PRJNA29305	-	4.914	4.926	-	-	-	-	-	-	-	-	-	-
520709.PRJNA183323	0.103	7.34	7.478	-	-	-	-	-	-	-	-	-	-
521096.PRJNA29399	0.047	6.36	6.423	-	-	-	-	-	-	-	-	-	0.002
523850.PRJNA20773	0.142	7.152	7.314	-	-	-	-	-	-	-	-	-	-
525897.PRJNA29527	0.239	11.79	12.122	-	-	-	-	-	-	-	-	-	-
525903.PRJNA29531	6.878	39.375	44.429	-	-	-	-	-	-	-	-	-	-
526225.PRJNA29547	0.658	16.882	17.705	-	0.001	-	0.001	-	-	0.001	0.002	0.002	-
529.PRJNA244571	0.236	9.117	9.411	-	-	-	-	-	-	-	-	0.003	-
546414.PRJNA16691	4.403	33.338	36.891	-	-	-	-	-	-	0.011	0.034	0.01	-
553385.PRJNA237992	4.482	33.046	18.69	-	1.228	1.228	1.228	1.228	-	0.02	0.056	0.033	1.228
590998.PRJNA33691	1.038	18.682	19.777	-	0.002	-	0.002	-	-	-	-	0.002	0.002
591158.PRJNA33599	1.127	18.878	20.094	-	-	-	-	-	-	-	-	-	-
591159.PRJNA33607	0.013	2.502	0.948	-	0.002	-	0.002	-	-	-	-	0.001	-
591167.PRJNA33771	0.477	13.551	14.085	-	0.001	-	-	-	-	-	-	-	-
593907.PRJNA33853	0.015	4.75	4.781	-	-	-	-	-	-	-	-	-	-
627192.PRJNA67115	1.654	21.718	23.432	-	-	-	-	-	-	0.01	-	-	-
652017.PRJNA238302	0.091	6.457	6.578	-	0.507	0.507	0.507	0.507	-	-	0.003	-	0.507
65497.PRJNA238534	79.489	90.269	84.531	1.216	5.988	5.988	5.988	5.988	4.777	1.708	4.611	4.547	5.988
658612.PRJNA261945	99.798	99.618	99.889	99.551	2.015	1.979	2.228	2.191	99.399	0.191	0.485	0.408	2.092
665577.PRJNA63193	0.114	9.098	9.277	-	-	-	-	-	-	-	0.003	-	-
667632.PRJNA169697	0.103	6.305	6.427	-	0.001	0.001	0.001	0.001	-	-	-	-	0.003
675511.PRJNA89087	0.373	11.615	12.009	-	-	-	-	-	-	-	-	-	-
684949.PRJNA157079	0.042	5.51	5.589	-	-	-	-	-	-	-	-	-	-
690598.PRJNA41633	0.06	8.143	8.287	-	-	-	-	-	-	-	0.005	0.003	-
69222.PRJNA238419	0.023	5.623	5.679	-	-	-	-	-	-	-	-	-	-
69328.PRJNA178195	0.181	7.236	7.459	-	-	-	-	-	-	-	0.005	0.004	-
694427.PRJNA42009	0.317	10.56	10.95	-	-	-	-	-	-	-	-	-	-
697284.PRJNA42205	3.004	28.584	31.359	0.036	-	-	-	-	0.061	0.033	0.035	0.034	-
700508.PRJNA177066	96.618	98.29	99.947	15.866	0.16	0.866	0.161	0.868	29.45	0.036	0.098	0.074	0.164
709986.PRJNA43461	11.137	47.358	54.486	-	-	-	-	-	0.015	-	-	-	-
717606.PRJNA49287	0.197	9.528	9.781	-	-	-	-	-	-	0.004	-	-	-
720555.PRJNA46075	98.128	98.953	99.985	26.59	0.364	23.476	0.364	23.262	42.269	7.509	16.396	7.285	0.579
743713.PRJNA68653	99.841	99.999	100	99.087	92.668	78.463	91.788	75.501	98.877	93.405	93.061	83.717	89.679
749927.PRJNA46889	0.35	12.97	13.379	-	-	-	-	-	-	-	-	-	-
756067.PRJNA47601	0.137	7.489	7.676	-	-	-	-	-	-	-	-	-	-
756499.PRJNA61181	0.391	11.269	11.726	-	-	-	-	-	-	0.004	-	-	-
759362.PRJNA48079	0.8	17.229	18.172	-	-	-	-	-	-	-	-	-	-
76114.PRJNA13242	1.483	22.092	23.462	-	-	-	-	-	-	-	-	-	-
762903.PRJNA49337	0.057	5.388	5.457	-	-	-	-	-	-	-	-	-	-
796606.PRJNA246479	7.856	39.534	45.366	0.048	-	0.002	-	0.002	0.027	-	-	-	-
861299.PRJNA194094	1.607	22.06	23.73	-	0.386	0.386	0.386	0.386	-	-	-	-	0.281
926554.PRJNA66373	4.294	33.687	37.712	-	2.635	2.615	2.635	2.615	0.011	-	-	-	2.635
926564.PRJNA66563	0.313	11.525	12.029	-	-	-	-	-	-	-	-	-	-
929712.PRJNA63851	0.356	11.352	11.78	-	-	-	-	-	-	-	-	0.001	-
930171.PRJNA20087	2.1	23.699	25.729	-	-	-	-	-	-	0.023	0.035	0.028	-
935543.PRJNA169686	0.089	7.14	7.276	-	-	-	-	-	-	0.001	-	-	0.001
979226.PRJNA81617	1.802	22.744	24.555	-	-	-	-	-	0.011	-	-	-	-
987045.PRJNA63165	0.317	11.769	12.148	-	-	-	-	-	-	-	-	-	-
Alternaria_tenuis_MPI_SDFR_AT_0071.contigs	99.996	99.956	99.997	97.62	0.172	3.335	0.172	3.118	97.643	27.85	50.055	33.51	0.183
Aspergillus_fumigatus_MPI_SW4_AT_0569.contigs	2.831	27.058	29.825	0.022	0.001	-	-	-	0.04	0.002	0.012	0.009	-
Chlamy107	0.116	7.454	7.594	-	0.003	0.005	-	0.001	0.011	0.015	0.001	0.004	0.073
Chlamy109	99.129	99.647	99.979	5.775	14.131	16.071	2.715	4.64	8.657	9.055	4.318	1.437	0.922
Chlamy119	0.39	7.189	7.313	1.058	0.509	-	0.506	-	0.267	0.177	0.011	0.071	-
Chlamy123	3.525	30.124	33.233	-	-	-	-	-	-	0.016	0.041	0.014	-
Chlamy125	0.221	10.136	10.278	-	0.008	0.011	0.011	0.015	-	0.001	-	-	0.017
Chlamy126	2.455	26.322	28.506	1.905	-	0.138	0.524	-	0.099	0.001	0.009	0.001	0.021
Chlamy13	0.329	10.183	10.568	-	-	-	-	-	0.001	0.003	0.005	0.004	-
Chlamy135	0.582	13.378	14.021	-	-	-	-	-	-	-	-	-	-
Chlamy147	0.264	9.964	10.28	-	-	-	-	-	-	0.002	-	-	-
Chlamy149	99.77	98.866	99.877	13.155	2.914	10.248	2.746	7.596	15.554	4.245	10.034	4.717	3.147
Chlamy151	99.988	99.832	99.99	98.379	89.256	88.379	88.8	88.969	98.484	97.573	93.268	95.963	87.65
Chlamy165	0.02	5.756	6.02	-	0.006	0.004	0.007	0.005	-	-	-	0.001	0.008
Chlamy174	0.113	9.716	9.909	-	-	-	-	-	-	-	-	0.002	-
Chlamy176	0.152	8.548	8.799	-	-	-	-	-	-	-	-	-	-
Chlamy182	99.958	99.769	99.962	97.901	90.459	90.525	90.069	90.618	99.627	0.007	-	-	90.981
Chlamy183	99.975	99.959	99.975	15.552	11.017	11.064	10.227	10.021	38.782	29.891	31.02	37.146	20.756
Chlamy187	99.696	99.466	99.864	60.251	2.659	10.509	2.265	10.267	67.802	2.964	3.376	0.758	2.729
Chlamy26	-	2.678	2.679	-	-	-	-	0.002	-	-	0.002	-	-
Chlamy37	99.975	99.923	99.996	11.54	7.092	7.093	10.01	10.216	14.543	53.325	63.568	53.358	6.011
Chlamy44	0.19	6.892	7.124	-	-	-	-	-	-	-	0.002	-	-
Chlamy52	0.283	9.478	9.856	-	-	-	-	-	-	-	-	-	-
Chlamy53	99.982	99.876	99.985	90.072	41.631	45.219	42.15	44.605	93.484	-	0.006	0.005	39.898
Chlamy6	100	99.995	100	99.789	99.029	99.037	98.863	98.885	99.763	99.666	98.052	99.747	98.856
Chlamy7	-	2.802	2.808	-	-	-	-	-	-	-	-	-	-
Chlamy70	0.147	6.756	6.958	-	0.002	-	-	-	-	-	0.001	-	-
Chlamy71	-	-	-	-	0.002	-	0.008	0.002	-	0.002	0.012	0.002	-
Chlamy76	99.971	99.923	99.996	97.967	94.344	94.388	94.364	94.4	99.27	56.73	85.847	95.892	93.219
Chlamy80	1.33	21.074	22.449	-	0.005	0.002	0.005	0.002	-	-	-	0.002	0.005
Chlamy82	9.139	42.573	48.928	0.011	-	-	-	-	0.032	-	-	-	-
Chlamy84	100	99.974	99.981	80.336	78.059	78.049	86.843	86.887	50.244	10.109	5.287	15.425	81.773
Chlamy9	99.986	99.776	99.988	99.929	96.906	96.897	96.906	96.897	99.934	24.904	54.763	92.269	97.353
Chlamy90	0.099	8.027	8.191	-	0.044	0.002	-	0.001	0.031	-	0.004	-	0.006
Cladosporium_rectoides_MPI_GEGE_AT_0032.contigs	76.047	89.757	97.704	1.162	0.001	0.002	0.001	0.002	4.413	0.116	0.172	0.117	-
Cryptosporiopsis_ericae_MPI_SW4_AT_0549.contigs	18.714	55.074	65.314	0.071	-	-	-	-	0.144	0.022	0.03	0.026	-
Cylindrocarpon_pauciseptatum_MPI_SP2_AT_0468.contigs	11.652	46.594	54.046	0.027	0	-	0	-	0.04	0.016	0.027	0.022	-
Embellisia_chlamydospora_MPI_FR1_AT_0336.contigs	56.882	80.884	92.396	0.443	-	0.005	-	0.005	1.369	0.156	0.19	0.148	-
Embellisia_chlamydospora_MPI_SP2_AT_0402.contigs	0.223	6.488	6.612	-	0	0	0	0.002	0.02	0.003	0.003	0.001	-
Fusarium_equiseti_MPI_CAGE_CH_0233.contigs	0.035	4.117	4.166	0	-	0	-	0	0.003	0.002	0.002	0.002	-
Fusarium_falciforme_MPI_FR1_AT_0333.contigs	0.545	12.558	13.212	0.003	0	-	-	-	0.013	0.006	0.009	0.006	-
Fusarium_falciforme_MPI_IT2_AT_0322.contigs	1.436	21.44	22.988	0.016	-	-	0	-	0.027	0.006	0.008	0.007	-
Fusarium_oxysporum_MPI_CAGE_AT_0013.contigs	80.463	98.768	99.966	18.856	0.03	0.035	0.03	0.035	22.962	2.391	4.932	3.525	-
Fusarium_oxysporum_MPI_CAGE_CH_0226.contigs	29.263	67.119	78.054	8.959	-	0.024	-	0.024	9.11	1.696	3.386	2.457	-
Fusarium_oxysporum_MPI_FR1_AT_0335.contigs	44.102	71.698	82.446	7.702	-	-	-	-	8.179	1.732	3.435	2.559	-
Fusarium_oxysporum_MPI_IT2_AT_0302.contigs	62.444	86.591	95.466	11.791	-	-	-	-	13.232	2.164	4.435	3.261	-
Fusarium_oxysporum_MPI_PUGE_AT_0057.contigs	26.492	35.955	40.745	13.809	-	0.054	-	0.054	15.834	2.008	4.02	3.017	-
Fusarium_oxysporum_MPI_SP2_AT_0407.contigs	88.434	95.993	99.634	15.865	-	-	-	-	19.386	2.595	5.821	4.17	-
Fusarium_redolens_MPI_CAGE_CH_0216.contigs	0.194	1.729	1.775	0.069	-	0	-	0	0.122	0.052	0.054	0.05	-
Fusarium_torulosum_MPI_SDFR_AT_0089.contigs	28.695	64.012	75.517	0.059	0	-	0.001	-	0.204	0.018	0.027	0.018	0
GCF_000001735.4_TAIR10.1_genomic	99.029	99.447	99.994	36.531	0.003	0.007	0.003	0.008	50.099	1.658	3.285	2.435	-
Gibellulopsis_nigrescens_MPI_SP2_AT_0410.contigs	99.991	99.881	99.983	95.412	0.651	25.015	0.651	25.015	95.432	61.397	82.216	48.172	0.407
Hypocrea_atroviridis_MPI_SP2_AT_0434.contigs	66.609	85.389	95.584	0.664	-	-	-	-	2.378	0.115	0.159	0.106	-
Ilyonectria_macrodidyma_MPI_GEGE_AT_0033.contigs	7.669	39.865	45.615	0.077	0	0.001	0	0.001	0.098	0.027	0.04	0.032	-
Leptodontidium_orchidicola_MPI_SW4_AT_0643.contigs	14.26	49.944	58.427	0.075	-	-	-	-	0.13	0.015	0.031	0.02	-
LjNodule212	99.999	99.988	100	99.7	96.587	96.466	95.47	95.372	99.032	46.558	86.789	98.742	94.537
LjRoot1	2.098	21.912	23.717	0.282	0.001	0.002	0.023	0.023	0.298	0.142	0.203	0.213	-
LjRoot10	0.368	12.731	13.027	-	-	0.001	-	0.001	-	-	-	-	0.002
LjRoot101	99.988	99.88	99.989	99.772	97.473	97.472	97.476	97.476	99.816	58.618	92.208	97.18	97.628
LjRoot103	99.02	98.873	99.924	28.887	20.73	19.747	19.641	22.314	34.011	0.705	3.012	1.344	21.501
LjRoot104	0.039	4.997	4.986	-	-	-	-	-	0.008	-	0.001	-	-
LjRoot105	0.105	8.389	8.578	0.035	0.002	0.002	0.003	-	0.092	0.004	0.001	0.006	-
LjRoot109	99.926	99.771	99.845	65.452	85.471	85.916	80.369	80.573	59.175	60.475	63.675	88.997	83.918
LjRoot11	0.31	11.794	12.339	0.02	-	-	-	-	-	-	-	0.001	-
LjRoot117	97.637	98.095	99.879	3.128	0.264	0.383	0.271	0.353	5.538	0.59	0.483	1.034	0.128
LjRoot120	99.981	99.794	99.985	18.023	5.35	5.544	5.42	5.423	24.683	1.454	3.687	3.246	4.13
LjRoot122	99.994	99.913	99.995	99.534	93.944	93.949	95.076	95.275	99.627	87.194	93.414	95.866	93.202
LjRoot125	6.843	39.305	44.546	-	-	-	-	-	-	0.033	0.037	-	-
LjRoot129	31.59	66.259	78.137	0.029	0.011	-	0.013	-	0.053	0.002	0.003	0.003	-
LjRoot13	98.896	98.865	99.82	41.866	22.933	62.622	32.482	62.607	54.206	4.562	13.657	4.973	19.96
LjRoot130	99.981	99.741	99.984	32.582	25.682	26.022	25.084	24.932	35.125	0.565	0.421	2.041	21.93
LjRoot131	-	0.972	0.972	-	0.002	-	0.002	-	0.002	0.002	0.001	0.001	-
LjRoot134	0.02	1.859	1.869	0.011	-	-	-	-	-	-	-	0.043	-
LjRoot139	99.988	99.828	99.989	24.166	16.481	16.65	16.863	16.869	27.845	5.498	7.486	4.355	20.05
LjRoot142	1.518	22.865	24.6	-	0.001	0.001	0.004	0.001	-	0.018	0.004	0.013	0.003
LjRoot143	0.131	6.284	6.441	-	0.002	-	0.002	0.002	-	0.002	0.002	0.015	-
LjRoot145	0.52	12.989	12.288	0.393	0.938	0.933	0.131	0.128	0.702	0.002	-	0.001	0.134
LjRoot149	99.997	99.914	99.997	99.799	99.225	99.206	99.225	99.206	99.865	-	-	2.226	99.275
LjRoot15	0.097	6.64	6.725	0.018	0.045	0.045	-	-	0.018	-	-	0.006	-
LjRoot150	53.361	79.7	90.717	3.367	0.415	0.398	3.727	2.912	4.859	2.285	2.478	0.273	0.495
LjRoot152	99.999	99.98	99.999	99.716	95.374	95.434	94.959	95.015	99.57	99.744	97.778	95.951	94.189
LjRoot153	93.431	96.264	99.711	7.83	-	0.002	-	0.002	19.367	0.558	1.102	0.689	-
LjRoot154	2.034	26.189	28.03	0.669	2.087	1.584	0.586	1.2	0.306	1.808	1.293	4.921	2.044
LjRoot156	6.655	38.877	43.922	-	0.005	0.003	0.002	-	-	0.002	0.004	0.01	-
LjRoot16	99.879	99.793	99.904	99.281	97.838	97.839	97.826	97.827	99.283	98.969	98.996	96.152	97.53
LjRoot162	99.833	99.178	99.938	58.321	4.426	7.548	3.829	7.034	66.737	0.004	0.03	0.022	6.003
LjRoot167	10.456	46.041	53.011	-	-	-	-	-	0.022	-	-	-	-
LjRoot17	1.374	20.506	21.773	-	-	-	-	-	-	-	0.029	-	-
LjRoot170	99.824	99.476	99.971	61.404	49.274	48.667	42.497	42.258	60.049	64.063	66.598	80.786	54.839
LjRoot175	99.894	99.614	99.932	30.752	24.257	24.681	21.095	21.257	32.23	0.733	0.507	0.396	22.526
LjRoot176	98.829	98.506	99.889	26.56	13.979	20.416	15.856	19.119	32.85	0.364	1.572	1.205	13.631
LjRoot177	99.997	99.97	99.997	99.585	99.295	99.316	99.297	99.304	99.584	50.541	83.669	90.567	99.222
LjRoot179	38.396	64.529	74.721	8.453	3.935	3.8	4.872	4.971	10.976	0.665	0.338	0.41	1.47
LjRoot18	0.207	6.233	6.413	-	0.035	0.035	-	-	0.025	0.002	0.002	0.019	-
LjRoot181	99.994	99.898	99.994	58.013	12.354	12.236	7.833	7.964	59.355	0.446	0.932	0.5	7.704
LjRoot182	0.873	15.849	17.033	1.59	1.891	2.32	1.802	3.12	1.713	3.069	2.547	3.806	3.801
LjRoot183	99.998	99.975	99.999	99.856	97.596	97.696	97.287	97.351	99.846	99.87	98.812	99.4	97.264
LjRoot184	99.989	99.919	99.994	91.477	83.962	85.16	84.054	85.549	92.486	0.766	2.786	1.762	78.998
LjRoot186	0.03	5.168	5.336	-	0.004	-	0.002	-	-	-	-	-	0.002
LjRoot187	99.996	99.915	99.996	56.485	11.083	11.993	11.579	11.846	58.925	0.728	0.407	1.53	10.946
LjRoot192	0.168	8.778	8.993	-	-	-	-	0.001	-	-	0.005	0.005	-
LjRoot194	0.07	6.202	6.257	0.02	0.001	-	0.007	0.007	0.009	0.019	0.032	0.07	-
LjRoot196	99.916	99.526	99.968	83.677	16.692	51.136	15.5	53.564	87.585	28.185	57.803	22.453	15.575
LjRoot202	95.969	97.63	99.89	13.503	42.202	52.353	42.202	52.353	26.096	0.215	0.281	0.271	36.59
LjRoot21	8.095	40.321	46.688	0.087	0.068	0.013	0.125	0.071	0.052	0.012	0.044	0.148	0.055
LjRoot28	99.661	99.13	99.78	92.831	88.22	89.991	88.251	89.626	94.341	6.228	17.922	11.878	88.101
LjRoot29	5.008	34.177	38.531	0.045	-	-	-	-	0.062	-	0.007	0.007	0.001
LjRoot3	99.717	99.538	99.723	95.276	90.562	91.032	90.852	90.913	95.344	68.451	89.513	74.927	87.79
LjRoot30	99.752	98.386	99.747	97.645	73.611	77.288	76.137	80.438	97.563	0.05	0.123	0.018	76.907
LjRoot31	3.493	26.692	29.266	0.055	-	-	-	-	0.3	0.094	0.486	0.316	-
LjRoot33	5.27	34.88	38.951	-	0.003	0.003	0.001	0.001	-	0.031	0.013	0.001	-
LjRoot34	78.196	89.663	97.983	1.453	-	-	-	-	5.781	1.831	5.609	3.933	0.003
LjRoot38	66.52	84.634	95.473	0.19	0.042	0.046	0.045	0.058	1.249	0.03	0.044	0.015	0.034
LjRoot40	99.991	99.845	99.992	99.893	95.574	95.568	95.53	95.525	99.854	1.511	5.093	16.175	96.197
LjRoot42	0.249	10.396	10.721	-	-	-	-	-	-	-	-	-	-
LjRoot43	0.856	16.258	17.093	1.107	4.046	3.899	3.268	2.65	0.721	1.836	2.147	2.694	2.222
LjRoot44	0.098	7.239	7.296	-	-	-	0.002	-	-	-	0.002	-	-
LjRoot45	0.333	11.481	11.87	-	-	-	-	-	-	-	-	-	-
LjRoot48	0.131	7.657	7.854	-	-	-	-	-	-	-	0.007	0.018	-
LjRoot49	0.198	10.05	10.314	-	-	-	-	-	-	-	0.003	-	-
LjRoot51	90.137	95.148	99.386	4.372	0.02	0.002	0.02	0.065	12.121	-	0.001	-	0.019
LjRoot53	0.092	5.391	5.479	-	-	-	-	-	-	-	-	-	-
LjRoot62	99.979	99.919	99.934	35.182	27.212	27.856	23.831	25.072	36.153	9.096	10.767	12.587	23.61
LjRoot66	98.617	98.535	99.9	25.648	10.058	13.732	9.839	13.36	31.78	0.338	1.307	0.856	10.59
LjRoot69	80.675	98.745	99.866	10.213	5.968	6.108	9.493	9.566	13.537	9.097	8.237	1.601	4.997
LjRoot70	0.928	17.695	18.742	0.381	1.52	1.099	1.835	0.908	0.377	0.433	0.691	0.716	0.599
LjRoot71	0.516	13.28	13.874	-	-	-	-	-	-	-	-	-	-
LjRoot74	0.258	7.082	7.114	0.043	-	-	-	-	0.015	-	0.015	-	-
LjRoot79	0.189	6.379	7.209	27.776	12.386	11.397	16.311	16.169	33.255	33.016	31.582	11.059	13.37
LjRoot80	0.226	8.306	8.511	-	0.004	0.001	0.001	-	-	-	-	-	-
LjRoot82	71.782	87.786	96.981	0.622	0.139	0.001	0.139	0.001	2.654	0.004	-	0.008	-
LjRoot84	99.992	99.891	99.993	89.072	77.246	77.249	78.98	79.272	91.006	76.005	93.758	96.473	82.665
LjRoot9	17.306	53.813	63.189	0.015	0.001	0.001	0.001	-	0.03	0.022	0.012	0.029	0.002
LjRoot90	99.897	99.678	99.975	77.533	16.454	57.537	15.345	58.459	83.242	9.07	24.724	9.042	9.717
LjRoot92	1.708	3.921	3.966	0.008	-	0.001	0.001	-	0.001	-	0.029	0.001	0.001
LjRoot99	10.119	5.648	5.727	12.929	9.298	9.293	10.763	10.605	11.736	10.213	9.36	11.529	6.008
Macrophomina_phaseolina_MPI_FR1_AT_0330.contigs	0.024	3.715	3.766	0.13	0.023	0.082	0.022	0.082	0.118	1.824	2.732	2.24	0.013
Macrophomina_phaseolina_MPI_SDFR_AT_0085.contigs	99.997	99.959	99.998	94.141	0.092	0.151	0.092	0.149	95.139	16.246	33.864	25.199	0.091
Metacordyceps_chlamydosporia_MPI_IT2_AT_0323.contigs	75.458	89.805	97.803	1.521	0.001	-	0.001	-	4.722	0.262	0.378	0.294	-
Myrothecium_cinctum_MPI_SP2_AT_0408.contigs	3.02	27.905	30.707	0.047	-	-	-	-	0.044	0.003	0.006	0.009	-
Neonectria_radicicola_MPI_CAGE_CH_0236.contigs	99.91	99.876	99.993	75.588	0.074	0.108	0.075	0.103	79.822	5.762	12.68	9.745	0.083
Ochroconis_tshawytschae_MPI_SP2_AT_0416.contigs	0.834	16.49	17.501	-	-	-	-	-	0.001	0.002	0.001	0.001	-
Paraphoma_chrysanthemicola_MPI_SDFR_AT_0093.contigs	7.654	11.476	11.874	0.138	-	0	-	-	0.454	0.016	0.031	0.032	-
Paraphoma_chrysanthemicola_MPI_SDFR_AT_0118.contigs	56.981	82.894	93.056	1.303	0.005	0.008	0.005	0.008	2.908	0.117	0.199	0.154	-
Penicillium_canescens_MPI_SW4_AT_0573.contigs	0.115	7.249	7.406	-	-	-	-	-	-	0.001	0.001	0.002	-
Penicillium_crustosum_MPI_IT2_AT_0321.contigs	11.135	45.58	53.002	0.072	-	-	-	-	0.16	0.016	0.023	0.019	-
Penicillium_restrictum_MPI_SP2_AT_0405.contigs	99.992	99.968	99.999	98.845	0.125	11.503	0.122	11.5	98.94	33.219	57.245	33.528	0.077
Peyronellaea_curtisii_MPI_SP2_AT_0415.contigs	91.593	96.22	99.683	6.673	0.005	0.005	0.005	0.005	15.92	0.455	0.8	0.545	0.006
Phaeosphaeria_eustoma_MPI_FR1_AT_0339.contigs	85.258	95.427	99.533	6.093	0.017	0.056	0.016	0.056	13.15	0.654	1.097	0.818	0.008
Phaeosphaeria_eustoma_MPI_SP2_AT_0401.contigs	5.29	8.743	8.689	0.977	0.008	0.001	0.009	0.001	2.104	0.157	0.26	0.172	0.01
Phialocephala_fortinii_MPI_SW4_AT_0551.contigs	0.003	0.99	1.002	-	-	-	-	-	-	-	0	-	-
Phialocephala_fortinii_MPI_SW4_AT_0651.contigs	79.886	90.799	98.105	3.252	0.001	0.001	0	0	7.205	0.271	0.448	0.353	-
Phoma_exigua_MPI_PUGE_AT_0052.contigs	6.623	37.787	42.841	0.013	0	0.002	0	0.002	0.02	0.005	0.008	0.004	0
Phoma_radicina_MPI_SP2_AT_0466.contigs	0.089	5.468	5.658	-	-	-	-	-	-	0.001	0	-	-
Phoma_selaginellicola_MPI_SW4_AT_0584.contigs	13.689	48.8	56.988	0.216	0	-	0	-	0.292	0.066	0.099	0.08	0
Phomopsis_columnaris_MPI_SP2_AT_0504.contigs	1.085	18.166	19.517	0.052	-	-	-	-	0.087	0.01	0.02	0.019	-
Phomopsis_columnaris_MPI_SW4_AT_0540.contigs	55.609	80.446	92.205	0.19	-	-	-	-	1.048	0.049	0.071	0.046	-
Plectosphaerella_cucumerina_MPI_FR1_AT_0340.contigs	4.394	31.673	35.731	0.066	0	-	0	-	0.112	0.007	0.026	0.013	0
Plectosphaerella_cucumerina_MPI_SP2_AT_0421.contigs	6.443	38.745	43.646	0.052	-	-	-	-	0.071	0.009	0.011	0.008	-
Plectosphaerella_cucumerina_MPI_SP2_AT_0455.contigs	1.023	4.412	5.127	0.003	0	-	-	-	0.008	0.003	0.002	0.003	0
Pyrenochaeta_lycopersici_MPI_FR1_AT_0381.contigs	20.274	56.271	66.488	0.341	0.004	0.003	0.004	0.003	0.497	0.08	0.144	0.105	0.002
RNODE_101_length_1372_cov_7.49556	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_102_length_8268_cov_3.53650	-	6.842	5.756	-	9.994	9.994	9.994	9.994	-	-	-	-	9.994
RNODE_103_length_2852_cov_4.11378	69.696	60.682	96.459	10	-	-	-	-	10	10	10	10	-
RNODE_104_length_5057_cov_12.80755	98.63	96.187	99.303	10	10	10	10	10	10	-	1.231	1.231	10
RNODE_105_length_62790_cov_25.15822	0.098	4.178	4.205	-	-	-	-	-	-	-	-	-	-
RNODE_106_length_1583_cov_3.49519	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_111_length_2230_cov_3.84239	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_112_length_5666_cov_6.47909	99.417	95.218	99.571	10	10	10	10	10	10	10	10	10	10
RNODE_113_length_2920_cov_5.66563	11.335	37.243	50.259	9.855	-	-	-	-	6.798	7.081	9.168	7.968	-
RNODE_115_length_1563_cov_5.85918	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_117_length_1506_cov_6.97170	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_118_length_1774_cov_2.07534	97.586	94.937	98.727	10	-	-	-	-	10	-	-	-	-
RNODE_119_length_2367_cov_7.70704	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_11_length_2136_cov_9.27578	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_120_length_2282_cov_6.07257	-	-	12.912	-	-	-	-	-	-	-	-	-	-
RNODE_121_length_10870_cov_30.65219	17.016	47.987	49.95	9.703	10	10	10	10	9.352	1.546	1.943	6.079	10
RNODE_123_length_2054_cov_30.18504	95.094	72.638	97.264	10	-	-	-	-	10	9.385	10	10	-
RNODE_124_length_1415_cov_2.71141	99.907	99.06	99.914	10	-	-	-	-	10	10	10	-	-
RNODE_128_length_2643_cov_8.66196	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_129_length_1566_cov_26.20790	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_12_length_1515_cov_4.22907	-	-	7.448	-	-	-	-	-	-	-	-	-	-
RNODE_130_length_2230_cov_8.22328	99.896	99.828	99.95	10	-	-	-	-	10	10	10	5.498	-
RNODE_131_length_3521_cov_17.22578	1.446	14.49	16.825	-	-	-	-	-	-	-	-	-	-
RNODE_132_length_8354_cov_2.98896	0.602	8.273	9.496	-	9.982	9.982	9.982	9.982	-	-	-	-	9.987
RNODE_135_length_2376_cov_3.88445	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_136_length_1758_cov_14.12385	25.253	55.956	83.52	10	-	-	-	-	10	9.954	8.6	9.136	-
RNODE_138_length_6510_cov_13.48012	99.986	99.934	99.989	10	67.719	67.719	77.292	77.292	10	10	0.126	-	99.655
RNODE_13_length_1938_cov_15.43946	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_140_length_2497_cov_5.86303	59.519	86.889	97.596	10	-	-	-	-	10	10	10	10	-
RNODE_141_length_2345_cov_22.92639	97.482	98.889	99.372	10	-	-	-	-	10	8.597	8.48	5.489	-
RNODE_143_length_3260_cov_5.42156	-	6.208	15.602	-	-	-	-	-	-	-	-	-	-
RNODE_144_length_2325_cov_4.38472	99.939	99.831	99.944	10	-	-	-	-	10	10	10	10	-
